Bus No,Material,Material Description,Model,Bus Format,Type,Replacement Date,Next Replacement Date,Final Replacement Date,Predicted Replacement Date,Interval Days,Failure Trend,Predicted Interval,Order Count,Total Withdrawn,Mileage Extracted,MaxMilage_AllYears,SumDistancePlanned_AllYears,SumDistanceActual_AllYears,Bus Age,Bus Age At Replacement,Status,Days Since Last Replacement,Time To Action,Odometer,Total Fault Count,Accident Count
SG6025C,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2219.0,0,2219.0,1,1,,,,,7.11,0.0,Overdue - Action Required,2598,3,571560.0,2.0,7.0
SG6028U,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-10 21:07:12.000000,2612.0,0,2612.0,1,1,,,,,7.1,0.0,Overdue - Action Required,2593,18,570460.0,0.0,2.0
SG6073M,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2168.0,0,2168.0,1,1,,,,,7.03,0.0,Overdue - Action Required,2566,3,564520.0,1.0,11.0
SG6068D,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2025-10-28,,,2031-09-23 17:31:55.200000,2157.0,0,2157.0,1,1,430762.0,,,,6.9,6.66,Scheduled - Future,87,2068,449902.0,1.0,4.0
SG6116Z,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1725.0,0,1725.0,1,1,,,,,6.81,0.0,Overdue - Action Required,2488,3,547360.0,2.0,1.0
SG6120K,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,2024-08-21,,,2030-05-20 23:45:36.000000,2099.0,0,2099.0,1,1,327141.0,,,,6.81,5.39,Scheduled - Future,520,1578,441541.0,6.0,4.0
SG6121H,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2099.0,0,2099.0,1,1,,,,,6.81,0.0,Overdue - Action Required,2488,3,547360.0,2.0,4.0
SG6122E,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2096.0,0,2096.0,1,1,,,,,6.77,0.0,Overdue - Action Required,2474,3,544280.0,2.0,3.0
SG6139H,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,2097.0,0,2097.0,1,1,,,,,6.77,0.0,Overdue - Action Required,2474,3,544280.0,3.0,12.0
SG6117X,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-08 03:50:24.000000,2420.0,0,2420.0,1,1,,,,,6.58,0.0,Overdue - Action Required,2404,15,528880.0,0.0,8.0
SG6142Y,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-02-22 17:39:29.428069,2010.0,0,2010.0,1,1,,,,,6.58,0.0,Overdue - Action Required,2404,30,528880.0,0.0,1.0
SG6110P,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-26 17:39:29.428069,1639.0,0,1639.0,1,1,,,,,6.36,0.0,Overdue - Action Required,2324,3,511280.0,1.0,1.0
SG6242S,Unknown,TRANSMISSION: MAN A95,MAN A95,DD,Transmission,,,,2026-01-30 12:00:00.000000,1892.0,0,1892.0,1,1,,,,,5.16,0.0,Overdue - Action Required,1884,6,414480.0,0.0,2.0
