Bus No,Material,Material Description,Model,Bus Format,Type,Replacement Date,Next Replacement Date,Final Replacement Date,Predicted Replacement Date,Interval Days,Failure Trend,Predicted Interval,Order Count,Total Withdrawn,Mileage Extracted,MaxMilage_AllYears,SumDistancePlanned_AllYears,SumDistanceActual_AllYears,Bus Age,Bus Age At Replacement,Status,Days Since Last Replacement,Time To Action,Odometer,Total Fault Count,Accident Count
SMB1534E,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,16/11/2019,,16/11/2019,16/5/2027,,0,1643.663934,1,1,393075,694140336,58244340,26819426,10.45479452,4.975342466,Overdue - Action Required,2000,-357,705642,66,10
SMB1535C,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,17/10/2022,00:00.0,17/10/2022,9/5/2026,1323,0,1300,2,4,575297,696694052,48973250,22150748,10.43561644,6.064383562,Scheduled - Future,934,365,705433,129,6
SMB1535C,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,17/10/2022,,17/10/2022,5/3/2030,,0,1600,1,1,575297,696694052,48973250,22150748,10.43561644,7.876712329,Scheduled - Future,934,665,705433,129,6
SMB1536A,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,27/12/2022,00:00.0,27/12/2022,5/7/2030,1737,0,1475.699769,2,4,470276.5,734163739,55775820,17954716,10.43561644,5.691780822,Scheduled - Future,863,611.5,744911,52,3
SMB1536A,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,27/12/2022,00:00.0,27/12/2022,5/7/2030,1737,0,1625.699769,2,4,470276.5,734163739,55775820,17954716,10.43561644,5.691780822,Scheduled - Future,863,761.5,744911,52,3
SMB1537Y,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,15/6/2019,00:00.0,15/6/2019,23/7/2026,,0,1865.50712,1,4,36764,681312671,42885390,25022479,10.4109589,4.508219178,Overdue - Action Required,2154,-289.5,689989,50,6
SMB1537Y,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,14/6/2019,,14/6/2019,17/5/2026,,0,1799.64056,1,1,36764,681312671,42885390,25022479,10.4109589,4.506849315,Overdue - Action Required,2155,-356,689989,50,6
SMB1539S,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,11/2/2024,00:00.0,11/2/2024,13/10/2030,1601,0,1320.480967,2,4,543226,611228290,62933560,18550749,10.4109589,6.979452055,Scheduled - Future,452,867.5,625253,26,1
SMB1539S,6011404,TURBOCHARGER:FOR MAN A22/A95 E5,MAN A22,SD,OOB,24/9/2019,,24/9/2019,19/5/2026,,0,1699.407593,1,1,,611228290,62933560,18550749,10.4109589,4.78630137,Overdue - Action Required,2053,-355,625253,26,1
SMB1545Z,6010847,"COMPRESSOR,AIR:FOR MAN A22 BUS",MAN A22,SD,OOB,8/3/2019,,8/3/2019,24/3/2026,,0,1843.14147,1,1,293369,618748817,77114110,24614290,10.40273973,4.230136986,Overdue - Action Required,2253,-411,632089,18,3
